Year,Month,Month_name,Date,PM25,Malaria,Temp_C,Rainfall_mm,PM25_lag1,PM25_lag2,Rainfall_lag1
2000,1,Jan,2000-01-15,36.0,41.51022641150001,26.1,10.4,,,
2000,2,Feb,2000-02-15,42.0,33.962912518500005,27.8,8.6,36.0,,10.4
2000,3,Mar,2000-03-15,39.0,37.736569465,30.2,32.7,42.0,36.0,8.6
2000,4,Apr,2000-04-15,33.0,49.0575403045,32.8,72.2,39.0,42.0,32.7
2000,5,May,2000-05-15,27.0,83.02045282300001,31.1,141.1,33.0,39.0,72.2
2000,6,Jun,2000-06-15,23.400000000000002,98.115080609,29.8,181.5,27.0,33.0,141.1
2000,7,Jul,2000-07-15,21.599999999999998,105.662394502,29.4,200.3,23.400000000000002,27.0,181.5
2000,8,Aug,2000-08-15,21.0,109.43605144850001,29.2,221.4,21.599999999999998,23.400000000000002,200.3
2000,9,Sep,2000-09-15,22.5,113.209708395,28.7,252.6,21.0,21.599999999999998,221.4
2000,10,Oct,2000-10-15,24.0,98.115080609,28.0,221.9,22.5,21.0,252.6
2000,11,Nov,2000-11-15,30.0,71.69948198350001,27.0,83.2,24.0,22.5,221.9
2000,12,Dec,2000-12-15,34.5,52.831197251,25.9,22.1,30.0,24.0,83.2
2001,1,Jan,2001-01-15,12.008887493875045,23.739378333,26.1,10.4,34.5,30.0,22.1
2001,2,Feb,2001-02-15,14.01036874285422,19.423127727,27.8,8.6,12.008887493875045,34.5,10.4
2001,3,Mar,2001-03-15,13.009628118364635,21.58125303,30.2,32.7,14.01036874285422,12.008887493875045,8.6
2001,4,Apr,2001-04-15,11.00814686938546,28.055628938999998,32.8,72.2,13.009628118364635,14.01036874285422,32.7
2001,5,May,2001-05-15,9.006665620406284,47.478756666,31.1,141.1,11.00814686938546,13.009628118364635,72.2
2001,6,Jun,2001-06-15,7.8057768710187805,56.111257877999996,29.8,181.5,9.006665620406284,11.00814686938546,141.1
2001,7,Jul,2001-07-15,7.205332496325028,60.42750848399999,29.4,200.3,7.8057768710187805,9.006665620406284,181.5
2001,8,Aug,2001-08-15,7.00518437142711,62.585633787,29.2,221.4,7.205332496325028,7.8057768710187805,200.3
2001,9,Sep,2001-09-15,7.505554683671904,64.74375909,28.7,252.6,7.00518437142711,7.205332496325028,221.4
2001,10,Oct,2001-10-15,8.005924995916699,56.111257877999996,28.0,221.9,7.505554683671904,7.00518437142711,252.6
2001,11,Nov,2001-11-15,10.007406244895872,41.004380757,27.0,83.2,8.005924995916699,7.505554683671904,221.9
2001,12,Dec,2001-12-15,11.508517181630252,30.213754241999997,25.9,22.1,10.007406244895872,8.005924995916699,83.2
2002,1,Jan,2002-01-15,14.146290264017923,20.990019501,26.1,10.4,11.508517181630252,10.007406244895872,22.1
2002,2,Feb,2002-02-15,16.504005308020908,17.173652319,27.8,8.6,14.146290264017923,11.508517181630252,10.4
2002,3,Mar,2002-03-15,15.325147786019418,19.08183591,30.2,32.7,16.504005308020908,14.146290264017923,8.6
2002,4,Apr,2002-04-15,12.967432742016431,24.806386683,32.8,72.2,15.325147786019418,16.504005308020908,32.7
2002,5,May,2002-05-15,10.609717698013442,41.980039002,31.1,141.1,12.967432742016431,15.325147786019418,72.2
2002,6,Jun,2002-06-15,9.19508867161165,49.612773366,29.8,181.5,10.609717698013442,12.967432742016431,141.1
2002,7,Jul,2002-07-15,8.487774158410753,53.42914054799999,29.4,200.3,9.19508867161165,10.609717698013442,181.5
2002,8,Aug,2002-08-15,8.252002654010454,55.337324138999996,29.2,221.4,8.487774158410753,9.19508867161165,200.3
2002,9,Sep,2002-09-15,8.841431415011202,57.24550773,28.7,252.6,8.252002654010454,8.487774158410753,221.4
2002,10,Oct,2002-10-15,9.430860176011949,49.612773366,28.0,221.9,8.841431415011202,8.252002654010454,252.6
2002,11,Nov,2002-11-15,11.788575220014936,36.255488228999994,27.0,83.2,9.430860176011949,8.841431415011202,221.9
2002,12,Dec,2002-12-15,13.556861503017176,26.714570273999996,25.9,22.1,11.788575220014936,9.430860176011949,83.2
2003,1,Jan,2003-01-15,16.45361831144348,27.540611972500002,26.1,10.4,13.556861503017176,11.788575220014936,22.1
2003,2,Feb,2003-02-15,19.195888030017397,22.5332279775,27.8,8.6,16.45361831144348,13.556861503017176,10.4
